Заголовок,Время публикации,Описание,Ссылка
Консорциум для борьбы с загрязнением воздуха появился в России,"26 апреля 2025, 09:12","© Ferra.ru Главная задача нового объединения — обеспечить Министерство природы точными экспертными оценками и регулярно обновляемыми методиками для борьбы с загрязнением. Консорциум будет заниматься научным сопровождением расчетов по загрязнению атмосферы, квотированием выбросов, а также разработкой и внедрением автоматических систем контроля на предприятиях. Организации намерены повысить эффективность экологического контроля на производстве и провести экспертизу существующих методик по расчету вредных выбросов. Это должно помочь в создании более точных моделей загрязнения и поддержать реализацию федеральных инициатив. В рамках проекта «Чистый воздух» специалисты уже выполнили расчеты по загрязнению воздуха в 41 российском городе. Использовались данные Росприроднадзора о характере и объемах выбросов. Также была проведена работа по квотированию, используя специальные программные модели. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/konsorcium-dlya-borby-s-zagryazneniem-vozdukha-poyavilsya-v-rossii-26-04-2025.htm
Российских школьников будут обучать «правильные» нейросети,"26 апреля 2025, 09:09","© Ferra.ru Министр образования Нижегородской области Михаил Пучков отметил, что нейросети должны помогать детям, а не подменять собой их труд. При этом важно, чтобы искусственный интеллект общался с учениками корректно и был понятен в национальном контексте. Вице-премьер Дмитрий Чернышенко заявил, что Россия уже имеет собственные генеративные нейросети, такие как GigaChat и YandexGPT. Эти разработки, по его словам, способны конкурировать на мировом уровне. При этом он подчеркнул, что использование зарубежных ИИ может нести риски из-за разницы в культурных кодах и идеологиях. Чтобы российские нейросети обучались на понятных пользователю данных, власти решили создать единое хранилище информации. Туда планируют загрузить советские фильмы, которые, по мнению чиновников, формируют нужную систему ценностей. Это должно помочь избежать влияния голливудской продукции, которая, как считает руководство страны, активно продвигает чуждые идеи через массовую культуру. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/rossiiskikh-shkolnikov-budut-obuchat-pravilnye-neiroseti-26-04-2025.htm
"Некоторые укусы людей акулами – самооборона, а не нападение: учёные","26 апреля 2025, 08:45","© Ferra.ru Хотя укусы акул - явление редкое, ежегодно регистрируется всего около 100 случаев, и около 10% из них заканчиваются летальным исходом, исследователи обнаружили, что некоторые укусы происходят, когда акулы чувствуют угрозу от действий человека. Такие ""защитные укусы"" могут быть вызваны тем, что люди пытаются ловить рыбу копьем рядом с акулой, схватить её или даже просто подплыть слишком близко. Исследование, проведенное под руководством доктора Эрика Клуа из Университета PSL, показывает, что эти укусы вызваны инстинктом, а не агрессией. Во многих случаях укусы вызывают лишь незначительные травмы, похожие на защитную реакцию других животных. Исследователи проанализировали данные об укусах, полученные во Французской Полинезии, и глобальные записи, и пришли к выводу, что 3-5% укусов могут быть вызваны самообороной. Учёные призывают людей не прикасаться к акулам и не вмешиваться в их жизнь, даже если они кажутся ранеными или спокойными, поскольку акулы могут расценить любой контакт как угрозу. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/techlife/nekotorye-ukusy-lyudei-akulami-samooborona-a-ne-napadenie-uchyonye-25-04-2025.htm
"Xiaomi показала мышь, клавиатуру и не только, посвященные Гарри Поттеру","26 апреля 2025, 08:00","© Xiaomi / Warner. Bros Redmi Bluetooth Speaker (139 юаней / ~$19) - маленькая и портативная колонка с корпусом из силикона, встроенным ремешком и защитой от воды/пыли. Она обеспечивает до 5 часов воспроизведения и оснащена Bluetooth 5.3 с поддержкой стереопары. Далее следует внешний аккумулятор емкостью 10 000 мАч (149 юаней / ~ 20 долларов), который поддерживает быструю зарядку мощностью 33 Вт. Он оснащен портами USB-A и USB-C и способен зарядить iPhone 16 Pro до 58 % всего за 30 минут. © Xiaomi / Warner. Bros Беспроводная мышь X1 (349 юаней / ~ 48 долларов) - легкая и предназначенная для геймеров, с высокопроизводительным сенсором, быстрой скоростью отклика и долговечным аккумулятором. Она работает как с Windows, так и с macOS. Наконец, механическая клавиатура MK71 Pro (599 юаней / ~$82) имеет компактную раскладку, настраиваемые клавиши, небольшой ЖК-дисплей и тихий набор текста. Она подключается через USB, Bluetooth или по беспроводной сети и поддерживает несколько систем. В настоящее время эта волшебная линейка доступна в Китае. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/computers/xiaomi-pokazala-mysh-klaviaturu-i-ne-tolko-posvyashennye-garri-potteru-25-04-2025.htm
"Состоялся глобальный релиз смартфонов Motorola Edge 60 и Edge 60 Pro, но не в США","26 апреля 2025, 07:15","© Motorola Edge 60 оснащен чипом Dimensity 7300, до 12 ГБ оперативной памяти и накопителем объемом до 512 ГБ. Он оснащен 50-Мп основной камерой, 50-Мп сверхширокоугольным объективом и 10-Мп зум-объективом, а также 50-Мп фронтальной камерой. Объем аккумулятора зависит от региона - либо 5200 мАч, либо 5500 мАч с быстрой зарядкой 68 Вт. Более мощный Edge 60 Pro работает на чипе Dimensity 8350 Extreme и оснащен более емким аккумулятором на 6 000 мАч с быстрой зарядкой 90 Вт и беспроводной зарядкой 15 Вт. Он предлагает ту же настройку камеры и дисплей, что и стандартная модель, но с более быстрой оперативной памятью LPDDR5X и хранилищем UFS 4.0. © Motorola Оба телефона работают под управлением Android 15, оснащены функциями Moto AI и динамиками Dolby Atmos. Стоимость Edge 60 составляет 380 фунтов стерлингов (примерно 40 тысяч рублей), а Edge 60 Pro - 600 фунтов стерлингов (65 тысяч рублей), и они будут продаваться на некоторых мировых рынках, за исключением США. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/sostoyalsya-globalnyi-reliz-smartfonov-motorola-edge-60-i-edge-60-pro-no-ne-v-ssha-25-04-2025.htm
Motorola представила складные смартфоны Razr 60 всего за $700,"26 апреля 2025, 06:30","© Motorola Razr 60 Ultra - самый мощный, с чипом Snapdragon 8 Elite, 16 ГБ оперативной памяти и накопителем на 512 ГБ. Он оснащен 7-дюймовым складным дисплеем и 4-дюймовым внешним экраном - оба суперяркие и плавные, с частотой обновления до 165 Гц. Он оснащен тремя 50-мегапиксельными камерами, поддержкой видео Dolby Vision и аккумулятором емкостью 4700 мАч с быстрой проводной и беспроводной зарядкой. Более доступный Razr 60 использует чип MediaTek, 8 ГБ оперативной памяти и накопитель на 256 ГБ. Он предлагает немного меньший 6,96-дюймовый основной экран, 3,63-дюймовый внешний дисплей и солидный набор камер с объективами на 50, 13 и 32 Мп. Его аккумулятор емкостью 4500 мАч поддерживает проводную и беспроводную зарядку. Razr+ (2025), эксклюзивная модель для США, оснащается чипом Snapdragon 8s и аккумулятором емкостью 4000 мАч. © Motorola Оба телефона водонепроницаемы и имеют усиленный шарнир для большей прочности. Они работают под управлением Android с функциями Moto AI, такими как голосовые команды, умные напоминания и улучшение фотографий. Цены начинаются с 700 долларов за Razr 60, 1300 долларов за Razr 60 Ultra и 1000 долларов за Razr+, релиз в мае и июне. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/motorola-predstavila-skladnye-smartfony-razr-60-vsego-za-usd700-25-04-2025.htm
Цифра дня:  сколько мирового интернет-трафика генерируется ботами?,"26 апреля 2025, 06:00","© Ferra.ru мирового интернет-трафика генерируется ботами Боты впервые превзошли людей по объему интернет-трафика, заняв 51% от общего количества, сообщили аналитики компании Imperva. Из них 37% — это вредоносные боты, созданные для атак, и лишь 14% приносят пользу. Рост активности связан с развитием искусственного интеллекта (ИИ) и его использованием в киберпреступности. Простые боты, использующие ИИ, становятся основным инструментом для массовых атак. Злоумышленники, даже с минимальными навыками, теперь могут создавать таких ботов благодаря доступным технологиям. Со временем, по мере освоения ИИ, атаки станут сложнее и изощреннее, предупреждают эксперты. Особенно заметен рост атак на API — 44% продвинутых ботов нацелены на эти интерфейсы. Чаще всего боты собирают данные, совершают мошенничество с платежами или пытаются захватить учетные записи. Популярный бот ByteSpider, которого нередко принимают за легальный краулер, отвечает за 54% атак с использованием ИИ. Киберпреступники маскируют вредоносных ботов под полезные веб-краулеры, чтобы обойти защиту. ИИ помогает им анализировать успех атак и совершенствовать методы уклонения. В 2024 году Imperva заблокировала 13 триллионов запросов ботов, ежедневно выявляя около 2 миллионов атак с ИИ. Эксперты прогнозируют дальнейший рост числа и сложности таких угроз. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/techlife/cifra-dnya-skolko-mirovogo-internet-trafika-generiruetsya-botami-25-04-2025.htm
Производители настольных игр подали в суд на Трампа из-за наценок для Китая,"26 апреля 2025, 05:45","© Ferra.ru Основное внимание в иске уделяется высоким тарифам - до 145% - на товары, импортируемые из Китая. Многие игровые компании производят свою продукцию там и утверждают, что дополнительные расходы мешают им вести бизнес. Stonemaier Games, один из истцов, утверждает, что ей приходится платить миллионные дополнительные сборы за готовые к импорту партии товаров. Другие компании, включая Spielcraft Games, Rookie Mage Games, XYZ Game Labs и Tinkerhouse, сообщают, что заплатили тысячи долларов в последние месяцы и ожидают еще больших расходов в будущем. Среди других компаний, участвующих в деле, - бренд одежды Princess Awesome и магазин игрушек Mischief из Миннесоты. Этот иск дополняет растущую оппозицию тарифам. Днем ранее 12 американских штатов также подали иск по этому вопросу. Тем временем появились сообщения о том, что администрация Трампа может рассмотреть вопрос о снижении тарифов на китайские товары. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/games/proizvoditeli-nastolnykh-igr-podali-v-sud-na-trampa-iz-za-nacenok-dlya-kitaya-25-04-2025.htm
iPhone с iOS 19 получат поддержку внешних дисплеев: инсайдер,"26 апреля 2025, 05:00","© Majin Bu Согласно новой утечке, в iPadOS 19 появится строка меню в стиле Mac в верхней части экрана, когда iPad подключен к Apple Magic Keyboard. Это позволит iPad стать более похожим на MacBook, особенно когда он используется для работы, пишут СМИ. Также появится новая функция под названием Storage Manager 2.0 и улучшенные инструменты многозадачности, которые автоматически активируются при подключении клавиатуры. Между тем, по слухам, iOS 19 добавит поддержку внешних дисплеев для iPhone с портами USB-C. Хотя это не превратит ваш iPhone в полноценный рабочий стол, это позволит вам использовать второй экран, как монитор или телевизор, с дизайном, похожим на Apple Stage Manager. При этом могут быть некоторые ограничения по разрешению или количеству приложений, которые можно просматривать одновременно. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/notebooks/iphone-s-ios-19-poluchat-podderzhku-vneshnikh-displeev-insaider-25-04-2025.htm
Врач: газировка приводит к хрупкости костной ткани и опасна тромбообразованием,"26 апреля 2025, 04:39","Кислота, содержащаяся в газировке, может вымывать кальций, что особенно опасно для пожилых людей, подверженных риску остеопороза, и детей, чьё костное развитие может пострадать. Кроме того, в одной банке газировки содержится порядка 5–6 ложек сахара, что приводит к быстрому приливу энергии, который быстро рассеивается, вызывая симптомы гипергликемии: раздражительность, усталость и беспокойство. Диетолог отметила, что постоянное употребление сахара может привести к образованию жировой ткани и способствовать циркуляции сахара в кровотоке, что приводит к накоплению «плохого» холестерина и возможному образованию бляшек и тромбов. Кроме того, газировка может негативно влиять на микробиом организма, позволяя вредным бактериям буквально процветать. Соломатина порекомендовала заменить газировку простой водой или домашними напитками, настоянными на ягодах, поскольку они содержат меньше фруктозы. Материалы новостного характера нельзя приравнивать к назначению врача. Перед принятием решения посоветуйтесь со специалистом. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/health/vrach-gazirovka-privodit-k-khrupkosti-kostnoi-tkani-i-opasna-tromboobrazovaniem-26-04-2025.htm
Врач назвал морепродукты пищей для поддержания здоровья и долголетия,"26 апреля 2025, 04:24","По мнению эксперта, ключ к поддержанию здоровья организма лежит в употреблении продуктов, богатых микронутриентами. На первом месте по содержанию микронутриентов — субпродукты животных, такие как печень, сердце и селезёнка, затем — мелкая рыба, морепродукты и ракообразные. Полезны также различные виды мяса, включая козлятину и говядину. Мартюшев-Поклад подчеркнул важность включения в рацион тёмно-зелёных листовых овощей, таких как кейл или шпинат. Однако важно отметить, что растительная пища содержит меньше качественного белка и жирорастворимых витаминов, а минералы из неё усваиваются хуже. Поэтому оптимальным вариантом является сочетание продуктов животного происхождения с овощами для полноценного питания. «Для нашего организма питание — это не просто источник энергии, а набор сигналов, которые управляют многими процессами. Если поступает достаточно жизненно важных веществ, то организм находится в режиме долголетия, если их недостаточно — переходит в режим выживания. Продукты должны быть богаты микронутриентами», — рассказал врач. Материалы новостного характера нельзя приравнивать к назначению врача. Перед принятием решения посоветуйтесь со специалистом. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/health/vrach-nazval-moreprodukty-pishei-dlya-podderzhaniya-zdorovya-i-dolgoletiya-26-04-2025.htm
После обновления Windows 11 в GTA: San Andreas исчез самолёт. Это «древний» баг,"26 апреля 2025, 04:15","© Rockstarintel.com Ошибка, приводящая к исчезновению гидросамолёта Skimmer, присутствует в игре с момента выхода тайтла на ПК в 2005 году. Пользователь GitHub заметил проблему после установки обновления Windows, и дальнейшее исследование, проведённое независимым разработчиком Адрианом, показало, что ошибка связана с отсутствием параметров в файле конфигурации vehicles.ide. Предыдущие версии Windows могли скрыть этот недостаток, но изменение механизма памяти в Windows 11 24H2 привело к некорректному отображению гидроплана. Энтузиаст быстро разработал решение, позволяющее вручную восстановить работоспособность Skimmer путём внесения изменений в файл vehicles.ide. Кроме того, разработчик планирует выпустить обновление SilentPatch, которое устранит не только эту ошибку, но и другие давние проблемы игры. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/games/posle-obnovleniya-windows-11-v-gta-san-andreas-ischez-samolyot-eto-drevnii-bag-25-04-2025.htm
Инсайдеры раскрыли некоторые детали об обновлении линейки iPhone 17,"26 апреля 2025, 03:30","© Macrumors.com По слухам, iPhone 17 получит более быстрый 3-нм процессор A19 Pro собственной разработки Apple, улучшенную камеру с 48 Мп задним и 24 Мп передним объективами, более ёмкий аккумулятор с поддержкой обратной беспроводной зарядки, а также новый модем C2 5G с более широкой поддержкой диапазона 5G. Кроме того, в операционной системе iOS 19 появятся новые возможности ИИ. Однако торговая война нарушила глобальные цепочки поставок, что усложнило для Apple получение необходимых компонентов и сырья. В связи с ростом тарифов расходы Apple на экспорт значительно растут. Хотя говорят о возможности привлечения альтернативных поставщиков, но это, скорее всего, приведёт к ещё большему увеличению расходов компании. Также известно, что серийное производство iPhone 17 должно начаться в июне, и существует высокая вероятность, что всё больше устройств будет поступать в США из Индии, а не из Китая. Ожидается, что Apple сможет покрыть некоторые дополнительные расходы за счёт экономии на лицензионных сборах Qualcomm после перехода на собственные модемы 5G. Однако вендору в любом случае придётся повысить цены на продукты, по крайней мере это может коснуться некоторых моделей, в первую очередь iPhone 17 Air. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/insaidery-raskryli-nekotorye-detali-ob-obnovlenii-lineiki-iphone-17-25-04-2025.htm
"В Linux нашли уязвимость, позволяющую незаметно следить за целевыми устройствами","26 апреля 2025, 02:45","Как сообщает Bleeping Computer, io_uring является интерфейсом ядра Linux, предназначенным для эффективных асинхронных операций ввода-вывода. Этот интерфейс использует кольцевые буферы для постановки в очередь запросов ввода-вывода и обрабатывает их асинхронно. Однако множество инструментов безопасности не отслеживают операции, связанные с io_uring, что создаёт «слепое пятно» в защите. Уязвимость в io_uring позволяет руткитам выполнять широкий спектр операций, таких как чтение / запись файлов, создание сетевых соединений и изменение разрешений на файлы. По словам обозревателей источника, это говорит о серьёзной проблеме безопасности, которую необходимо устранить для защиты систем Linux. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/computers/v-linux-nashli-uyazvimost-pozvolyayushuyu-nezametno-sledit-za-celevymi-ustroistvami-24-04-2025.htm
